#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         110     -6.000000e-01     -7.716364e-01      1.012119e-02
         111     -6.800000e-01     -7.708108e-01      1.006362e-02
         112     -6.000000e-01     -7.692857e-01      1.008866e-02
         113     -7.600000e-01     -7.692035e-01      9.999719e-03
         114     -8.400000e-01     -7.698246e-01      9.931268e-03
         115     -7.600000e-01     -7.697391e-01      9.845276e-03
         116     -6.800000e-01     -7.689655e-01      9.790750e-03
         117     -9.200000e-01     -7.702564e-01      9.791800e-03
         118     -9.200000e-01     -7.715254e-01      9.790705e-03
         119     -9.200000e-01     -7.727731e-01      9.787607e-03
         120     -9.200000e-01     -7.740000e-01      9.782638e-03
         121     -9.200000e-01     -7.752066e-01      9.775919e-03
         122     -9.200000e-01     -7.763934e-01      9.767566e-03
         123     -8.400000e-01     -7.769106e-01      9.701834e-03
         124     -8.400000e-01     -7.774194e-01      9.636925e-03
         125     -9.200000e-01     -7.785600e-01      9.627098e-03
         126     -9.200000e-01     -7.796825e-01      9.615915e-03
         127     -9.200000e-01     -7.807874e-01      9.603463e-03
         128     -8.400000e-01     -7.812500e-01      9.539571e-03
         129     -9.200000e-01     -7.823256e-01      9.526064e-03
         130     -9.200000e-01     -7.833846e-01      9.511472e-03
         131     -9.200000e-01     -7.844275e-01      9.495864e-03
         132     -9.200000e-01     -7.854545e-01      9.479306e-03
         133     -9.200000e-01     -7.864662e-01      9.461859e-03
         134     -8.400000e-01     -7.868657e-01      9.399678e-03
         135     -7.600000e-01     -7.866667e-01      9.332157e-03
         136     -6.800000e-01     -7.858824e-01      9.296439e-03
         137     -7.600000e-01     -7.856934e-01      9.230501e-03
         138     -6.800000e-01     -7.849275e-01      9.195333e-03
         139     -6.800000e-01     -7.841727e-01      9.160112e-03
         140     -6.800000e-01     -7.834286e-01      9.124855e-03
         141     -7.600000e-01     -7.832624e-01      9.061652e-03
         142     -8.400000e-01     -7.836620e-01      9.006642e-03
         143     -9.200000e-01     -7.846154e-01      8.993980e-03
         144     -9.200000e-01     -7.855556e-01      8.980527e-03
         145     -8.400000e-01     -7.859310e-01      8.926438e-03
         146     -8.400000e-01     -7.863014e-01      8.872977e-03
         147     -8.400000e-01     -7.866667e-01      8.820133e-03
         148     -8.400000e-01     -7.870270e-01      8.767896e-03
         149     -7.600000e-01     -7.868456e-01      8.710927e-03
         150     -7.600000e-01     -7.866667e-01      8.654693e-03
         151     -6.800000e-01     -7.859603e-01      8.626157e-03
         152     -7.600000e-01     -7.857895e-01      8.571097e-03
         153     -8.400000e-01     -7.861438e-01      8.522397e-03
         154     -7.600000e-01     -7.859740e-01      8.468747e-03
         155     -8.400000e-01     -7.863226e-01      8.421280e-03
         156     -8.400000e-01     -7.866667e-01      8.374324e-03
         157     -8.400000e-01     -7.870064e-01      8.327871e-03
         158     -8.400000e-01     -7.873418e-01      8.281915e-03
         159     -9.200000e-01     -7.881761e-01      8.271746e-03
         160     -9.200000e-01     -7.890000e-01      8.260978e-03
         161     -9.200000e-01     -7.898137e-01      8.249641e-03
         162     -8.400000e-01     -7.901235e-01      8.204532e-03
         163     -8.400000e-01     -7.904294e-01      8.159901e-03
         164     -7.600000e-01     -7.902439e-01      8.112255e-03
         165     -7.600000e-01     -7.900606e-01      8.065160e-03
         166     -7.600000e-01     -7.898795e-01      8.018608e-03
         167     -7.600000e-01     -7.897006e-01      7.972588e-03
         168     -8.400000e-01     -7.900000e-01      7.930752e-03
         169     -8.400000e-01     -7.902959e-01      7.889341e-03
         170     -8.400000e-01     -7.905882e-01      7.848349e-03
         171     -8.400000e-01     -7.908772e-01      7.807770e-03
         172     -8.400000e-01     -7.911628e-01      7.767597e-03
         173     -8.400000e-01     -7.914451e-01      7.727826e-03
         174     -8.400000e-01     -7.917241e-01      7.688450e-03
         175     -8.400000e-01     -7.920000e-01      7.649463e-03
         176     -8.400000e-01     -7.922727e-01      7.610860e-03
         177     -7.600000e-01     -7.920904e-01      7.570045e-03
         178     -6.800000e-01     -7.914607e-01      7.553663e-03
         179     -7.600000e-01     -7.912849e-01      7.513508e-03
         180     -6.800000e-01     -7.906667e-01      7.497160e-03
         181     -7.600000e-01     -7.904972e-01      7.457653e-03
         182     -6.800000e-01     -7.898901e-01      7.441349e-03
         183     -7.600000e-01     -7.897268e-01      7.402479e-03
         184     -8.400000e-01     -7.900000e-01      7.367288e-03
         185     -8.400000e-01     -7.902703e-01      7.332421e-03
         186     -6.800000e-01     -7.896774e-01      7.316927e-03
         187     -7.600000e-01     -7.895187e-01      7.279520e-03
         188     -8.400000e-01     -7.897872e-01      7.245750e-03
         189     -8.400000e-01     -7.900529e-01      7.212282e-03
         190     -8.400000e-01     -7.903158e-01      7.179111e-03
         191     -8.400000e-01     -7.905759e-01      7.146236e-03
         192     -7.600000e-01     -7.904167e-01      7.110790e-03
         193     -7.600000e-01     -7.902591e-01      7.075693e-03
         194     -7.600000e-01     -7.901031e-01      7.040939e-03
         195     -8.400000e-01     -7.903590e-01      7.009480e-03
         196     -8.400000e-01     -7.906122e-01      6.978291e-03
         197     -7.600000e-01     -7.904569e-01      6.944598e-03
         198     -8.400000e-01     -7.907071e-01      6.914031e-03
         199     -8.400000e-01     -7.909548e-01      6.883723e-03
         200     -8.400000e-01     -7.912000e-01      6.853671e-03
         201     -8.400000e-01     -7.914428e-01      6.823872e-03
         202     -7.600000e-01     -7.912871e-01      6.791865e-03
         203     -7.600000e-01     -7.911330e-01      6.760156e-03
         204     -7.600000e-01     -7.909804e-01      6.728741e-03
         205     -8.400000e-01     -7.912195e-01      6.700165e-03
         206     -7.600000e-01     -7.910680e-01      6.669354e-03
         207     -8.400000e-01     -7.913043e-01      6.641322e-03
         208     -7.600000e-01     -7.911538e-01      6.611098e-03
         209     -6.000000e-01     -7.902392e-01      6.642431e-03
         210     -6.000000e-01     -7.893333e-01      6.672288e-03
         211     -5.200000e-01     -7.880569e-01      6.761662e-03
         212     -6.000000e-01     -7.871698e-01      6.787705e-03
         213     -6.800000e-01     -7.866667e-01      6.774460e-03
         214     -6.800000e-01     -7.861682e-01      6.761115e-03
         215     -6.800000e-01     -7.856744e-01      6.747677e-03
         216     -7.600000e-01     -7.855556e-01      6.717485e-03
         217     -8.400000e-01     -7.858065e-01      6.691212e-03
         218     -8.400000e-01     -7.860550e-01      6.665135e-03
         219     -8.400000e-01     -7.863014e-01      6.639251e-03
         220     -7.600000e-01     -7.861818e-01      6.610149e-03
         221     -7.600000e-01     -7.860633e-01      6.581300e-03
         222     -8.400000e-01     -7.863063e-01      6.556138e-03
         223     -6.800000e-01     -7.858296e-01      6.544046e-03
         224     -8.400000e-01     -7.860714e-01      6.519298e-03
         225     -8.400000e-01     -7.863111e-01      6.494728e-03
         226     -7.600000e-01     -7.861947e-01      6.467034e-03
         227     -7.600000e-01     -7.860793e-01      6.439574e-03
         228     -8.400000e-01     -7.863158e-01      6.415672e-03
