#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     -2.000000e-01     -2.000000e-01      0.000000e+00
           2     -2.400000e-01     -2.200000e-01      1.414214e-02
           3     -1.200000e-01     -1.866667e-01      2.880329e-02
           4     -1.600000e-01     -1.800000e-01      2.236068e-02
           5     -1.600000e-01     -1.760000e-01      1.824281e-02
           6      8.000000e-02     -1.333333e-01      4.181086e-02
           7     -4.000000e-02     -1.200000e-01      3.790428e-02
           8     -2.000000e-01     -1.300000e-01      3.446012e-02
           9     -1.600000e-01     -1.333333e-01      3.079201e-02
          10     -2.400000e-01     -1.440000e-01      2.950254e-02
          11     -2.000000e-01     -1.490909e-01      2.725619e-02
          12      0.000000e+00     -1.366667e-01      2.767202e-02
          13     -8.000000e-02     -1.323077e-01      2.588445e-02
          14     -2.400000e-01     -1.400000e-01      2.515260e-02
          15     -1.600000e-01     -1.413333e-01      2.351107e-02
          16     -2.000000e-01     -1.450000e-01      2.232571e-02
          17     -3.200000e-01     -1.552941e-01      2.326495e-02
          18     -2.800000e-01     -1.622222e-01      2.298088e-02
          19     -2.800000e-01     -1.684211e-01      2.259193e-02
          20      0.000000e+00     -1.600000e-01      2.297825e-02
          21      0.000000e+00     -1.523810e-01      2.311271e-02
          22      8.000000e-02     -1.418182e-01      2.435648e-02
          23      1.200000e-01     -1.304348e-01      2.582095e-02
          24      2.400000e-01     -1.150000e-01      2.899353e-02
          25      4.000000e-02     -1.088000e-01      2.848899e-02
          26      1.600000e-01     -9.846154e-02      2.920896e-02
          27      8.000000e-02     -9.185185e-02      2.886531e-02
          28      0.000000e+00     -8.857143e-02      2.802019e-02
          29      4.000000e-02     -8.413793e-02      2.740248e-02
          30     -8.000000e-02     -8.400000e-02      2.648941e-02
          31     -1.200000e-01     -8.516129e-02      2.566036e-02
          32      0.000000e+00     -8.250000e-02      2.499609e-02
          33     -4.000000e-02     -8.121212e-02      2.427179e-02
          34      1.600000e-01     -7.411765e-02      2.457288e-02
          35      2.000000e-01     -6.628571e-02      2.508788e-02
          36      0.000000e+00     -6.444444e-02      2.445847e-02
          37     -1.600000e-01     -6.702703e-02      2.393339e-02
          38     -1.600000e-01     -6.947368e-02      2.342829e-02
          39      3.600000e-01     -5.846154e-02      2.528350e-02
          40      2.400000e-01     -5.100000e-02      2.572887e-02
          41     -4.000000e-02     -5.073171e-02      2.510274e-02
          42      8.000000e-02     -4.761905e-02      2.469728e-02
          43      2.000000e-01     -4.186047e-02      2.478519e-02
          44     -8.000000e-02     -4.272727e-02      2.423704e-02
          45     -2.000000e-01     -4.622222e-02      2.394910e-02
          46     -1.200000e-01     -4.782609e-02      2.348211e-02
          47      4.000000e-02     -4.595745e-02      2.305672e-02
          48      4.000000e-02     -4.416667e-02      2.264581e-02
          49     -2.800000e-01     -4.897959e-02      2.268933e-02
          50     -2.400000e-01     -5.280000e-02      2.255489e-02
          51     -1.600000e-01     -5.490196e-02      2.221037e-02
          52      0.000000e+00     -5.384615e-02      2.180833e-02
          53     -1.600000e-01     -5.584906e-02      2.148863e-02
          54      8.000000e-02     -5.333333e-02      2.123744e-02
          55     -4.000000e-02     -5.309091e-02      2.085269e-02
          56      4.000000e-02     -5.142857e-02      2.054647e-02
          57     -4.000000e-02     -5.122807e-02      2.018698e-02
          58     -8.000000e-02     -5.172414e-02      1.984503e-02
          59     -4.000000e-02     -5.152542e-02      1.950967e-02
          60      0.000000e+00     -5.066667e-02      1.920339e-02
          61      1.200000e-01     -4.786885e-02      1.909131e-02
          62      8.000000e-02     -4.580645e-02      1.889446e-02
          63     -3.200000e-01     -5.015873e-02      1.908923e-02
          64     -2.000000e-01     -5.250000e-02      1.893399e-02
          65     -1.600000e-01     -5.415385e-02      1.871479e-02
          66      3.200000e-01     -4.848485e-02      1.927073e-02
          67      4.000000e-02     -4.716418e-02      1.902831e-02
          68      0.000000e+00     -4.647059e-02      1.876112e-02
          69      0.000000e+00     -4.579710e-02      1.850130e-02
          70      1.600000e-01     -4.285714e-02      1.846911e-02
          71      4.000000e-02     -4.169014e-02      1.824581e-02
          72     -1.600000e-01     -4.333333e-02      1.806624e-02
          73      2.000000e-01     -4.000000e-02      1.812366e-02
          74      2.800000e-01     -3.567568e-02      1.838740e-02
          75      2.000000e-01     -3.253333e-02      1.840878e-02
          76     -8.000000e-02     -3.315789e-02      1.817715e-02
          77     -8.000000e-02     -3.376623e-02      1.795126e-02
          78      1.600000e-01     -3.128205e-02      1.789218e-02
          79      4.000000e-02     -3.037975e-02      1.768843e-02
          80      3.200000e-01     -2.600000e-02      1.800139e-02
          81      2.800000e-01     -2.222222e-02      1.817123e-02
          82      8.000000e-02     -2.097561e-02      1.799234e-02
          83      1.600000e-01     -1.879518e-02      1.790720e-02
          84     -1.600000e-01     -2.047619e-02      1.777274e-02
          85     -1.600000e-01     -2.211765e-02      1.763929e-02
          86     -1.200000e-01     -2.325581e-02      1.747086e-02
          87      0.000000e+00     -2.298851e-02      1.727209e-02
          88     -4.000000e-02     -2.318182e-02      1.707690e-02
          89      0.000000e+00     -2.292135e-02      1.688701e-02
          90     -2.400000e-01     -2.533333e-02      1.687075e-02
          91     -1.200000e-01     -2.637363e-02      1.671740e-02
          92     -1.200000e-01     -2.739130e-02      1.656664e-02
          93     -1.600000e-01     -2.881720e-02      1.644975e-02
          94     -1.200000e-01     -2.978723e-02      1.630333e-02
          95      4.000000e-02     -2.905263e-02      1.614826e-02
          96     -1.200000e-01     -3.000000e-02      1.600781e-02
          97     -8.000000e-02     -3.051546e-02      1.585108e-02
          98     -4.000000e-02     -3.061224e-02      1.568963e-02
          99     -4.400000e-01     -3.474747e-02      1.606686e-02
         100     -2.800000e-01     -3.720000e-02      1.609228e-02
         101      2.000000e-01     -3.485149e-02      1.610341e-02
         102      3.200000e-01     -3.137255e-02      1.631700e-02
         103      1.600000e-01     -2.951456e-02      1.626402e-02
         104      2.000000e-01     -2.730769e-02      1.625667e-02
         105     -1.200000e-01     -2.819048e-02      1.612580e-02
         106     -8.000000e-02     -2.867925e-02      1.598107e-02
         107     -3.600000e-01     -3.177570e-02      1.612891e-02
         108     -2.000000e-01     -3.333333e-02      1.605461e-02
         109     -1.200000e-01     -3.412844e-02      1.592699e-02
         110     -1.600000e-01     -3.527273e-02      1.582325e-02
         111      4.000000e-02     -3.459459e-02      1.569523e-02
         112     -8.000000e-02     -3.500000e-02      1.556033e-02
         113      1.200000e-01     -3.362832e-02      1.548296e-02
         114      1.200000e-01     -3.228070e-02      1.540568e-02
         115      1.600000e-01     -3.060870e-02      1.536219e-02
         116      1.600000e-01     -2.896552e-02      1.531738e-02
         117      4.000000e-02     -2.837607e-02      1.519780e-02
         118      0.000000e+00     -2.813559e-02      1.507091e-02
         119     -4.800000e-01     -3.193277e-02      1.541520e-02
         120     -3.200000e-01     -3.433333e-02      1.547253e-02
         121     -2.800000e-01     -3.636364e-02      1.547729e-02
         122     -2.000000e-01     -3.770492e-02      1.540844e-02
         123      0.000000e+00     -3.739837e-02      1.528621e-02
         124      0.000000e+00     -3.709677e-02      1.516591e-02
         125      8.000000e-02     -3.616000e-02      1.507349e-02
         126      0.000000e+00     -3.587302e-02      1.495659e-02
         127     -1.600000e-01     -3.685039e-02      1.487072e-02
         128     -8.000000e-02     -3.718750e-02      1.475836e-02
         129      2.000000e-01     -3.534884e-02      1.475805e-02
         130      4.000000e-02     -3.476923e-02      1.465590e-02
         131      4.000000e-02     -3.419847e-02      1.455513e-02
         132      4.000000e-02     -3.363636e-02      1.445572e-02
         133     -1.600000e-01     -3.458647e-02      1.437822e-02
         134      0.000000e+00     -3.432836e-02      1.427323e-02
         135      8.000000e-02     -3.348148e-02      1.419261e-02
         136     -1.200000e-01     -3.411765e-02      1.410250e-02
         137      8.000000e-02     -3.328467e-02      1.402414e-02
         138     -4.000000e-02     -3.333333e-02      1.392260e-02
         139      8.000000e-02     -3.251799e-02      1.384629e-02
         140      2.800000e-01     -3.028571e-02      1.392617e-02
         141      1.200000e-01     -2.921986e-02      1.386813e-02
         142      2.800000e-01     -2.704225e-02      1.394039e-02
         143      3.200000e-01     -2.461538e-02      1.405256e-02
         144      4.400000e-01     -2.138889e-02      1.432059e-02
         145      3.600000e-01     -1.875862e-02      1.446136e-02
         146      1.200000e-01     -1.780822e-02      1.439350e-02
         147      1.200000e-01     -1.687075e-02      1.432609e-02
         148      0.000000e+00     -1.675676e-02      1.422974e-02
         149      1.200000e-01     -1.583893e-02      1.416381e-02
         150     -8.000000e-02     -1.626667e-02      1.407584e-02
         151     -8.000000e-02     -1.668874e-02      1.398895e-02
         152      8.000000e-02     -1.605263e-02      1.391137e-02
         153      0.000000e+00     -1.594771e-02      1.382084e-02
         154     -1.200000e-01     -1.662338e-02      1.374760e-02
         155      1.200000e-01     -1.574194e-02      1.368714e-02
         156      4.000000e-02     -1.538462e-02      1.360406e-02
         157      1.200000e-01     -1.452229e-02      1.354472e-02
         158      3.200000e-01     -1.240506e-02      1.362346e-02
         159      8.000000e-02     -1.182390e-02      1.355017e-02
         160     -1.200000e-01     -1.250000e-02      1.348234e-02
         161      4.000000e-02     -1.217391e-02      1.340254e-02
         162      4.000000e-02     -1.185185e-02      1.332368e-02
         163      4.000000e-02     -1.153374e-02      1.324573e-02
         164     -1.600000e-01     -1.243902e-02      1.319587e-02
         165     -8.000000e-02     -1.284848e-02      1.312224e-02
         166     -1.600000e-01     -1.373494e-02      1.307310e-02
         167     -2.000000e-01     -1.485030e-02      1.304231e-02
         168      2.000000e-01     -1.357143e-02      1.302723e-02
         169     -8.000000e-02     -1.396450e-02      1.295607e-02
         170      8.000000e-02     -1.341176e-02      1.289164e-02
         171      0.000000e+00     -1.333333e-02      1.281649e-02
         172      1.200000e-01     -1.255814e-02      1.276540e-02
         173      8.000000e-02     -1.202312e-02      1.270282e-02
         174     -1.200000e-01     -1.264368e-02      1.264496e-02
         175     -4.000000e-02     -1.280000e-02      1.257367e-02
         176     -1.200000e-01     -1.340909e-02      1.251698e-02
         177     -8.000000e-02     -1.378531e-02      1.245191e-02
         178     -1.200000e-01     -1.438202e-02      1.239625e-02
         179      1.200000e-01     -1.363128e-02      1.234970e-02
         180      2.400000e-01     -1.222222e-02      1.236122e-02
         181      1.200000e-01     -1.149171e-02      1.231449e-02
         182     -4.000000e-02     -1.164835e-02      1.224783e-02
         183      4.000000e-02     -1.136612e-02      1.218415e-02
         184     -8.000000e-02     -1.173913e-02      1.212364e-02
         185      4.000000e-02     -1.145946e-02      1.206133e-02
         186      2.000000e-01     -1.032258e-02      1.204995e-02
         187      1.200000e-01     -9.625668e-03      1.200564e-02
         188      2.400000e-01     -8.297872e-03      1.201499e-02
         189      2.800000e-01     -6.772487e-03      1.204785e-02
         190      4.000000e-02     -6.526316e-03      1.198696e-02
         191      4.000000e-02     -6.282723e-03      1.192667e-02
         192      2.000000e-01     -5.208333e-03      1.191285e-02
         193      2.800000e-01     -3.730570e-03      1.194243e-02
         194      1.200000e-01     -3.092784e-03      1.189789e-02
         195      2.800000e-01     -1.641026e-03      1.192512e-02
         196      1.200000e-01     -1.020408e-03      1.188041e-02
         197      1.200000e-01     -4.060914e-04      1.183598e-02
         198      2.400000e-01      8.080808e-04      1.183831e-02
         199      2.800000e-01      2.211055e-03      1.186167e-02
         200      2.800000e-01      3.600000e-03      1.188340e-02
         201      2.400000e-01      4.776119e-03      1.188234e-02
         202     -4.000000e-02      4.554455e-03      1.182558e-02
         203     -1.600000e-01      3.743842e-03      1.179508e-02
         204     -8.000000e-02      3.333333e-03      1.174440e-02
         205      1.600000e-01      4.097561e-03      1.171195e-02
         206      2.000000e-01      5.048544e-03      1.169364e-02
         207      2.400000e-01      6.183575e-03      1.169210e-02
         208      1.200000e-01      6.730769e-03      1.164869e-02
         209      2.000000e-01      7.655502e-03      1.162960e-02
         210      2.400000e-01      8.761905e-03      1.162673e-02
         211     -8.000000e-02      8.341232e-03      1.157924e-02
         212      3.200000e-01      9.811321e-03      1.161756e-02
         213      4.000000e-01      1.164319e-02      1.170656e-02
         214      4.400000e-01      1.364486e-02      1.182174e-02
         215      4.400000e-01      1.562791e-02      1.193192e-02
         216      1.600000e-01      1.629630e-02      1.189539e-02
         217      8.000000e-02      1.658986e-02      1.184419e-02
         218      8.000000e-02      1.688073e-02      1.179343e-02
         219      8.000000e-02      1.716895e-02      1.174310e-02
         220      1.200000e-01      1.763636e-02      1.169902e-02
         221     -3.200000e-01      1.610860e-02      1.174542e-02
         222      0.000000e+00      1.603604e-02      1.169274e-02
         223     -4.000000e-02      1.578475e-02      1.164300e-02
         224      2.000000e-01      1.660714e-02      1.162003e-02
         225      2.000000e-01      1.742222e-02      1.159694e-02
         226      4.000000e-01      1.911504e-02      1.166852e-02
         227      3.600000e-01      2.061674e-02      1.171335e-02
         228      3.200000e-01      2.192982e-02      1.173535e-02
         229      2.800000e-01      2.305677e-02      1.173809e-02
         230      2.400000e-01      2.400000e-02      1.172489e-02
         231      4.000000e-02      2.406926e-02      1.167433e-02
         232      0.000000e+00      2.396552e-02      1.162447e-02
         233     -4.000000e-02      2.369099e-02      1.157783e-02
         234     -8.000000e-02      2.324786e-02      1.153682e-02
         235      1.200000e-01      2.365957e-02      1.149508e-02
         236      0.000000e+00      2.355932e-02      1.144680e-02
         237     -1.200000e-01      2.295359e-02      1.141452e-02
         238     -2.000000e-01      2.201681e-02      1.140494e-02
         239     -2.800000e-01      2.075314e-02      1.142701e-02
         240     -4.400000e-01      1.883333e-02      1.153954e-02
         241     -3.600000e-01      1.726141e-02      1.159823e-02
