#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         112     -2.400000e-01      3.571429e-03      1.990125e-02
         113     -3.200000e-01      7.079646e-04      1.993007e-02
         114     -1.200000e-01     -3.508772e-04      1.978335e-02
         115      8.000000e-02      3.478261e-04      1.962365e-02
         116     -1.200000e-01     -6.896552e-04      1.948189e-02
         117      8.000000e-02      1.162413e-17      1.932758e-02
         118      1.200000e-01      1.016949e-03      1.919052e-02
         119     -2.000000e-01     -6.722689e-04      1.910346e-02
         120     -4.000000e-02     -1.000000e-03      1.894708e-02
         121      4.000000e-01      2.314050e-03      1.907812e-02
         122      1.200000e-01      3.278689e-03      1.894611e-02
         123      1.200000e-01      4.227642e-03      1.881583e-02
         124     -1.200000e-01      3.225806e-03      1.869074e-02
         125     -4.400000e-01     -3.200000e-04      1.887455e-02
         126      2.400000e-01      1.587302e-03      1.882088e-02
         127      4.000000e-02      1.889764e-03      1.867511e-02
         128      2.000000e-01      3.437500e-03      1.859324e-02
         129     -4.000000e-02      3.100775e-03      1.845215e-02
         130     -2.400000e-01      1.230769e-03      1.840473e-02
         131     -8.000000e-02      6.106870e-04      1.827467e-02
         132     -1.200000e-01     -3.030303e-04      1.815906e-02
         133      1.600000e-01      9.022556e-04      1.806248e-02
         134     -1.600000e-01     -2.985075e-04      1.796755e-02
         135     -4.000000e-01     -3.259259e-03      1.807675e-02
         136     -8.000000e-02     -3.823529e-03      1.795264e-02
         137     -8.000000e-02     -4.379562e-03      1.783021e-02
         138     -4.000000e-02     -4.637681e-03      1.770287e-02
         139      4.000000e-01     -1.726619e-03      1.781325e-02
         140     -8.000000e-02     -2.285714e-03      1.769479e-02
         141     -1.200000e-01     -3.120567e-03      1.758898e-02
         142     -2.400000e-01     -4.788732e-03      1.754404e-02
         143     -1.600000e-01     -5.874126e-03      1.745490e-02
         144     -2.000000e-01     -7.222222e-03      1.738566e-02
         145     -4.000000e-02     -7.448276e-03      1.726723e-02
         146     -4.000000e-02     -7.671233e-03      1.715040e-02
         147     -4.000000e-02     -7.891156e-03      1.703514e-02
         148     -1.200000e-01     -8.648649e-03      1.693687e-02
         149     -1.200000e-01     -9.395973e-03      1.683968e-02
         150     -4.800000e-01     -1.253333e-02      1.701716e-02
         151     -1.600000e-01     -1.350993e-02      1.693247e-02
         152     -1.600000e-01     -1.447368e-02      1.684847e-02
         153     -4.000000e-02     -1.464052e-02      1.673918e-02
         154     -2.000000e-01     -1.584416e-02      1.667370e-02
         155      4.000000e-02     -1.548387e-02      1.657002e-02
         156      0.000000e+00     -1.538462e-02      1.646410e-02
         157      2.000000e-01     -1.401274e-02      1.641629e-02
         158      4.000000e-02     -1.367089e-02      1.631595e-02
         159      2.000000e-01     -1.232704e-02      1.626858e-02
         160      3.200000e-01     -1.025000e-02      1.629895e-02
         161      2.400000e-01     -8.695652e-03      1.627166e-02
         162      2.400000e-01     -7.160494e-03      1.624348e-02
         163      2.400000e-01     -5.644172e-03      1.621444e-02
         164      3.200000e-01     -3.658537e-03      1.623670e-02
         165      2.800000e-01     -1.939394e-03      1.622905e-02
         166      2.400000e-01     -4.819277e-04      1.619660e-02
         167     -8.000000e-02     -9.580838e-04      1.610661e-02
         168      4.000000e-02     -7.142857e-04      1.601258e-02
         169      1.200000e-01      4.762791e-18      1.593376e-02
         170      0.000000e+00      4.734775e-18      1.584003e-02
         171      8.000000e-02      4.678363e-04      1.575431e-02
         172     -4.000000e-02      2.325581e-04      1.566447e-02
         173     -2.400000e-01     -1.156069e-03      1.563535e-02
         174     -1.600000e-01     -2.068966e-03      1.557212e-02
         175      2.000000e-01     -9.142857e-04      1.552589e-02
         176      4.000000e-01      1.363636e-03      1.560388e-02
         177      5.200000e-01      4.293785e-03      1.578845e-02
         178      4.800000e-01      6.966292e-03      1.592433e-02
         179      2.400000e-01      8.268156e-03      1.588849e-02
         180      2.000000e-01      9.333333e-03      1.583589e-02
         181     -4.000000e-02      9.060773e-03      1.575074e-02
         182      1.600000e-01      9.890110e-03      1.568602e-02
         183      8.000000e-02      1.027322e-02      1.560498e-02
         184      1.600000e-01      1.108696e-02      1.554137e-02
         185      4.000000e-02      1.124324e-02      1.545815e-02
         186     -4.000000e-02      1.096774e-02      1.537750e-02
         187      0.000000e+00      1.090909e-02      1.529538e-02
         188     -1.600000e-01      1.000000e-02      1.524101e-02
         189      8.000000e-02      1.037037e-02      1.516487e-02
         190     -2.800000e-01      8.842105e-03      1.516186e-02
         191     -4.000000e-02      8.586387e-03      1.508464e-02
         192      4.000000e-02      8.750000e-03      1.500696e-02
         193     -2.400000e-01      7.461140e-03      1.498445e-02
