#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         118      4.543605e-01      9.443449e-01      2.707807e-02
         119      4.524067e-01      9.402110e-01      2.716425e-02
         120      4.507787e-01      9.361324e-01      2.724235e-02
         121      4.494710e-01      9.321104e-01      2.731250e-02
         122      4.484773e-01      9.281462e-01      2.737480e-02
         123      4.477905e-01      9.242409e-01      2.742940e-02
         124      4.474049e-01      9.203954e-01      2.747642e-02
         125      4.466187e-01      9.166052e-01      2.751679e-02
         126      4.461045e-01      9.128711e-01      2.755061e-02
         127      4.458641e-01      9.091938e-01      2.757798e-02
         128      4.458893e-01      9.055743e-01      2.759904e-02
         129      4.461720e-01      9.020130e-01      2.761390e-02
         130      4.467040e-01      8.985106e-01      2.762270e-02
         131      4.474760e-01      8.950676e-01      2.762559e-02
         132      4.484792e-01      8.916844e-01      2.762269e-02
         133      4.497055e-01      8.883612e-01      2.761418e-02
         134      4.511455e-01      8.850984e-01      2.760019e-02
         135      4.527900e-01      8.818961e-01      2.758089e-02
         136      4.546295e-01      8.787545e-01      2.755644e-02
         137      4.566548e-01      8.756735e-01      2.752700e-02
         138      4.588579e-01      8.726531e-01      2.749273e-02
         139      4.612285e-01      8.696932e-01      2.745381e-02
         140      4.637585e-01      8.667936e-01      2.741040e-02
         141      4.664378e-01      8.639542e-01      2.736267e-02
         142      4.692593e-01      8.611747e-01      2.731079e-02
         143      4.722117e-01      8.584547e-01      2.725492e-02
         144      4.752863e-01      8.557938e-01      2.719523e-02
         145      4.784743e-01      8.531916e-01      2.713189e-02
         146      4.817678e-01      8.506476e-01      2.706506e-02
         147      4.851573e-01      8.481613e-01      2.699490e-02
         148      4.886348e-01      8.457320e-01      2.692158e-02
         149      4.921924e-01      8.433593e-01      2.684526e-02
         150      4.958228e-01      8.410424e-01      2.676609e-02
         151      4.989489e-01      8.387768e-01      2.668453e-02
         152      5.019603e-01      8.365609e-01      2.660082e-02
         153      5.050389e-01      8.343941e-01      2.651507e-02
         154      5.081773e-01      8.322758e-01      2.642737e-02
         155      5.113680e-01      8.302055e-01      2.633784e-02
         156      5.146048e-01      8.281824e-01      2.624660e-02
         157      5.178798e-01      8.262059e-01      2.615373e-02
         158      5.211858e-01      8.242754e-01      2.605935e-02
         159      5.245162e-01      8.223902e-01      2.596356e-02
         160      5.278651e-01      8.205494e-01      2.586646e-02
         161      5.312264e-01      8.187523e-01      2.576815e-02
         162      5.345939e-01      8.169983e-01      2.566872e-02
         163      5.379618e-01      8.152864e-01      2.556826e-02
         164      5.413253e-01      8.136159e-01      2.546687e-02
         165      5.446810e-01      8.119860e-01      2.536463e-02
         166      5.480210e-01      8.103958e-01      2.526163e-02
         167      5.513431e-01      8.088446e-01      2.515794e-02
         168      5.546409e-01      8.073315e-01      2.505365e-02
         169      5.579107e-01      8.058556e-01      2.494884e-02
         170      5.611490e-01      8.044162e-01      2.484357e-02
         171      5.643517e-01      8.030123e-01      2.473792e-02
         172      5.675156e-01      8.016431e-01      2.463196e-02
         173      5.706384e-01      8.003078e-01      2.452574e-02
         174      5.737160e-01      7.990056e-01      2.441934e-02
         175      5.767460e-01      7.977355e-01      2.431280e-02
         176      5.797261e-01      7.964969e-01      2.420620e-02
         177      5.826540e-01      7.952887e-01      2.409957e-02
         178      5.855279e-01      7.941103e-01      2.399297e-02
         179      5.882709e-01      7.929603e-01      2.388648e-02
         180      5.907249e-01      7.918368e-01      2.378018e-02
         181      5.931422e-01      7.907390e-01      2.367412e-02
         182      5.955216e-01      7.896664e-01      2.356833e-02
         183      5.978631e-01      7.886183e-01      2.346284e-02
         184      6.001645e-01      7.875941e-01      2.335767e-02
         185      6.024263e-01      7.865932e-01      2.325284e-02
         186      6.046460e-01      7.856150e-01      2.314839e-02
         187      6.068256e-01      7.846589e-01      2.304434e-02
         188      6.085747e-01      7.837223e-01      2.294079e-02
         189      6.099707e-01      7.828030e-01      2.283783e-02
         190      6.113374e-01      7.819005e-01      2.273545e-02
         191      6.126755e-01      7.810145e-01      2.263367e-02
         192      6.139867e-01      7.801446e-01      2.253250e-02
         193      6.152696e-01      7.792903e-01      2.243194e-02
         194      6.165258e-01      7.784513e-01      2.233200e-02
         195      6.177562e-01      7.776272e-01      2.223267e-02
         196      6.189612e-01      7.768177e-01      2.213397e-02
         197      6.201434e-01      7.760224e-01      2.203590e-02
         198      6.213043e-01      7.752410e-01      2.193846e-02
         199      6.224446e-01      7.744732e-01      2.184165e-02
         200      6.235665e-01      7.737186e-01      2.174547e-02
         201      6.246716e-01      7.729771e-01      2.164992e-02
         202      6.257614e-01      7.722483e-01      2.155501e-02
         203      6.268377e-01      7.715320e-01      2.146072e-02
         204      6.279013e-01      7.708279e-01      2.136707e-02
         205      6.289541e-01      7.701359e-01      2.127405e-02
         206      6.299981e-01      7.694556e-01      2.118165e-02
         207      6.310369e-01      7.687869e-01      2.108987e-02
         208      6.320712e-01      7.681296e-01      2.099872e-02
         209      6.331019e-01      7.674836e-01      2.090818e-02
         210      6.341316e-01      7.668485e-01      2.081826e-02
