#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      4.000000e-02      4.000000e-02      0.000000e+00
           2      1.200000e-01      8.000000e-02      2.828427e-02
           3     -4.000000e-02      4.000000e-02      3.771236e-02
           4     -2.800000e-01     -4.000000e-02      7.483315e-02
           5     -2.800000e-01     -8.800000e-02      7.366953e-02
           6     -3.600000e-01     -1.333333e-01      7.403703e-02
           7     -4.800000e-01     -1.828571e-01      7.829078e-02
           8     -3.200000e-01     -2.000000e-01      7.035624e-02
           9     -2.800000e-01     -2.088889e-01      6.309789e-02
          10     -2.000000e-01     -2.080000e-01      5.679437e-02
          11     -8.000000e-02     -1.963636e-01      5.280985e-02
          12     -4.000000e-02     -1.833333e-01      4.999074e-02
          13     -2.000000e-01     -1.846154e-01      4.616174e-02
          14     -1.200000e-01     -1.800000e-01      4.309458e-02
          15     -1.600000e-01     -1.786667e-01      4.024223e-02
          16     -1.600000e-01     -1.775000e-01      3.774400e-02
          17     -4.000000e-02     -1.694118e-01      3.638006e-02
          18      4.000000e-02     -1.577778e-01      3.617136e-02
          19      8.000000e-02     -1.452632e-01      3.636814e-02
          20      4.000000e-02     -1.360000e-01      3.570994e-02
          21      1.600000e-01     -1.219048e-01      3.668595e-02
          22      2.400000e-01     -1.054545e-01      3.853048e-02
          23      0.000000e+00     -1.008696e-01      3.712704e-02
          24     -2.800000e-01     -1.083333e-01      3.632256e-02
          25     -1.600000e-01     -1.104000e-01      3.492841e-02
          26     -2.000000e-01     -1.138462e-01      3.375458e-02
          27     -4.000000e-02     -1.111111e-01      3.261503e-02
          28     -4.000000e-02     -1.085714e-01      3.154893e-02
          29      2.000000e-01     -9.793103e-02      3.220542e-02
          30      0.000000e+00     -9.466667e-02      3.129691e-02
          31      4.000000e-02     -9.032258e-02      3.058733e-02
          32      0.000000e+00     -8.750000e-02      2.976142e-02
          33      2.400000e-01     -7.757576e-02      3.046933e-02
          34      2.800000e-01     -6.705882e-02      3.133569e-02
          35      2.800000e-01     -5.714286e-02      3.197083e-02
          36      3.600000e-01     -4.555556e-02      3.311606e-02
          37      4.400000e-01     -3.243243e-02      3.472401e-02
          38      4.000000e-01     -2.105263e-02      3.562615e-02
          39      5.200000e-01     -7.179487e-03      3.731619e-02
          40      4.800000e-01      5.000000e-03      3.831938e-02
          41      4.000000e-01      1.463415e-02      3.857685e-02
          42      5.200000e-01      2.666667e-02      3.949033e-02
          43      4.400000e-01      3.627907e-02      3.972461e-02
          44      4.800000e-01      4.636364e-02      4.008139e-02
          45      8.000000e-02      4.711111e-02      3.919766e-02
          46      2.800000e-01      5.217391e-02      3.867111e-02
