#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         110     -3.546000e+00     -3.761276e+00      8.524823e-03
         111     -3.539179e+00     -3.759275e+00      8.679661e-03
         112     -3.533979e+00     -3.757263e+00      8.832187e-03
         113     -3.529144e+00     -3.755244e+00      8.981774e-03
         114     -3.524075e+00     -3.753217e+00      9.129023e-03
         115     -3.518621e+00     -3.751177e+00      9.274763e-03
         116     -3.513688e+00     -3.749129e+00      9.418060e-03
         117     -3.508523e+00     -3.747073e+00      9.559445e-03
         118     -3.503277e+00     -3.745007e+00      9.699131e-03
         119     -3.497348e+00     -3.742926e+00      9.838373e-03
         120     -3.492096e+00     -3.740835e+00      9.975960e-03
         121     -3.486164e+00     -3.738731e+00      1.011310e-02
         122     -3.480459e+00     -3.736614e+00      1.024939e-02
         123     -3.474834e+00     -3.734485e+00      1.038468e-02
         124     -3.469440e+00     -3.732348e+00      1.051861e-02
         125     -3.463825e+00     -3.730200e+00      1.065156e-02
         126     -3.457756e+00     -3.728037e+00      1.078426e-02
         127     -3.452216e+00     -3.725866e+00      1.091584e-02
         128     -3.446995e+00     -3.723687e+00      1.104584e-02
         129     -3.441717e+00     -3.721501e+00      1.117439e-02
         130     -3.436243e+00     -3.719307e+00      1.130183e-02
         131     -3.430577e+00     -3.717103e+00      1.142844e-02
         132     -3.425173e+00     -3.714891e+00      1.155387e-02
         133     -3.419883e+00     -3.712673e+00      1.167798e-02
         134     -3.414710e+00     -3.710449e+00      1.180063e-02
         135     -3.409202e+00     -3.708218e+00      1.192233e-02
         136     -3.403865e+00     -3.705980e+00      1.204287e-02
         137     -3.400361e+00     -3.703749e+00      1.215982e-02
         138     -3.397160e+00     -3.701528e+00      1.227298e-02
         139     -3.394388e+00     -3.699318e+00      1.238200e-02
         140     -3.391585e+00     -3.697120e+00      1.248714e-02
         141     -3.388299e+00     -3.694930e+00      1.258920e-02
         142     -3.384834e+00     -3.692746e+00      1.268853e-02
         143     -3.381643e+00     -3.690570e+00      1.278494e-02
         144     -3.378650e+00     -3.688404e+00      1.287835e-02
         145     -3.377137e+00     -3.686258e+00      1.296721e-02
         146     -3.376642e+00     -3.684137e+00      1.305065e-02
         147     -3.377116e+00     -3.682048e+00      1.312793e-02
         148     -3.377360e+00     -3.679990e+00      1.319966e-02
         149     -3.377376e+00     -3.677959e+00      1.326640e-02
         150     -3.377313e+00     -3.675954e+00      1.332851e-02
         151     -3.377318e+00     -3.673977e+00      1.338616e-02
         152     -3.376786e+00     -3.672021e+00      1.344013e-02
         153     -3.376321e+00     -3.670089e+00      1.349053e-02
         154     -3.376224e+00     -3.668181e+00      1.353721e-02
         155     -3.375434e+00     -3.666292e+00      1.358099e-02
         156     -3.374860e+00     -3.664424e+00      1.362181e-02
         157     -3.374348e+00     -3.662576e+00      1.365978e-02
         158     -3.373445e+00     -3.660746e+00      1.369535e-02
         159     -3.372603e+00     -3.658934e+00      1.372859e-02
         160     -3.371672e+00     -3.657139e+00      1.375969e-02
         161     -3.370500e+00     -3.655358e+00      1.378892e-02
         162     -3.369389e+00     -3.653593e+00      1.381633e-02
         163     -3.368298e+00     -3.651843e+00      1.384199e-02
         164     -3.367281e+00     -3.650108e+00      1.386591e-02
         165     -3.366032e+00     -3.648386e+00      1.388835e-02
         166     -3.365154e+00     -3.646680e+00      1.390910e-02
         167     -3.364196e+00     -3.644988e+00      1.392829e-02
         168     -3.363309e+00     -3.643311e+00      1.394593e-02
         169     -3.362192e+00     -3.641648e+00      1.396226e-02
         170     -3.360845e+00     -3.639996e+00      1.397750e-02
         171     -3.359270e+00     -3.638355e+00      1.399183e-02
         172     -3.357922e+00     -3.636724e+00      1.400516e-02
         173     -3.356348e+00     -3.635104e+00      1.401766e-02
         174     -3.354852e+00     -3.633493e+00      1.402933e-02
         175     -3.352529e+00     -3.631887e+00      1.404073e-02
         176     -3.351554e+00     -3.630295e+00      1.405100e-02
         177     -3.350186e+00     -3.628712e+00      1.406045e-02
         178     -3.348756e+00     -3.627139e+00      1.406915e-02
         179     -3.347264e+00     -3.625576e+00      1.407717e-02
         180     -3.345864e+00     -3.624022e+00      1.408447e-02
         181     -3.344256e+00     -3.622476e+00      1.409121e-02
         182     -3.343292e+00     -3.620942e+00      1.409704e-02
         183     -3.342908e+00     -3.619423e+00      1.410164e-02
         184     -3.342520e+00     -3.617918e+00      1.410507e-02
         185     -3.341824e+00     -3.616425e+00      1.410756e-02
         186     -3.341426e+00     -3.614947e+00      1.410897e-02
         187     -3.340872e+00     -3.613481e+00      1.410944e-02
         188     -3.340463e+00     -3.612029e+00      1.410893e-02
         189     -3.339748e+00     -3.610588e+00      1.410764e-02
         190     -3.339177e+00     -3.609160e+00      1.410552e-02
         191     -3.338602e+00     -3.607743e+00      1.410262e-02
         192     -3.337870e+00     -3.606338e+00      1.409904e-02
         193     -3.337433e+00     -3.604945e+00      1.409467e-02
         194     -3.336991e+00     -3.603563e+00      1.408953e-02
         195     -3.336542e+00     -3.602194e+00      1.408366e-02
         196     -3.335936e+00     -3.600836e+00      1.407716e-02
         197     -3.335474e+00     -3.599489e+00      1.407001e-02
         198     -3.334854e+00     -3.598152e+00      1.406228e-02
         199     -3.334377e+00     -3.596827e+00      1.405395e-02
         200     -3.333742e+00     -3.595511e+00      1.404511e-02
         201     -3.333101e+00     -3.594206e+00      1.403577e-02
         202     -3.332300e+00     -3.592909e+00      1.402605e-02
         203     -3.331642e+00     -3.591622e+00      1.401588e-02
         204     -3.330976e+00     -3.590344e+00      1.400529e-02
         205     -3.330301e+00     -3.589076e+00      1.399430e-02
         206     -3.329920e+00     -3.587818e+00      1.398280e-02
         207     -3.329076e+00     -3.586568e+00      1.397100e-02
         208     -3.328374e+00     -3.585326e+00      1.395887e-02
         209     -3.327965e+00     -3.584095e+00      1.394629e-02
         210     -3.327244e+00     -3.582872e+00      1.393341e-02
         211     -3.326512e+00     -3.581657e+00      1.392025e-02
         212     -3.325771e+00     -3.580450e+00      1.390682e-02
         213     -3.325473e+00     -3.579253e+00      1.389295e-02
         214     -3.324709e+00     -3.578063e+00      1.387886e-02
         215     -3.323935e+00     -3.576881e+00      1.386454e-02
         216     -3.323149e+00     -3.575707e+00      1.385003e-02
         217     -3.322202e+00     -3.574539e+00      1.383539e-02
         218     -3.322647e+00     -3.573383e+00      1.382009e-02
         219     -3.324092e+00     -3.572245e+00      1.380378e-02
         220     -3.325612e+00     -3.571124e+00      1.378648e-02
         221     -3.326602e+00     -3.570017e+00      1.376843e-02
         222     -3.327667e+00     -3.568926e+00      1.374962e-02
         223     -3.328805e+00     -3.567849e+00      1.373006e-02
         224     -3.329610e+00     -3.566785e+00      1.370990e-02
         225     -3.331346e+00     -3.565739e+00      1.368884e-02
         226     -3.333149e+00     -3.564710e+00      1.366690e-02
         227     -3.334416e+00     -3.563695e+00      1.364430e-02
         228     -3.336203e+00     -3.562697e+00      1.362089e-02
         229     -3.337153e+00     -3.561713e+00      1.359697e-02
         230     -3.338776e+00     -3.560743e+00      1.357236e-02
         231     -3.339714e+00     -3.559786e+00      1.354729e-02
         232     -3.340872e+00     -3.558843e+00      1.352171e-02
         233     -3.341495e+00     -3.557910e+00      1.349582e-02
         234     -3.342489e+00     -3.556989e+00      1.346951e-02
         235     -3.343251e+00     -3.556080e+00      1.344286e-02
         236     -3.343933e+00     -3.555181e+00      1.341592e-02
         237     -3.344536e+00     -3.554292e+00      1.338873e-02
         238     -3.345211e+00     -3.553414e+00      1.336126e-02
         239     -3.345656e+00     -3.552544e+00      1.333360e-02
         240     -3.345874e+00     -3.551683e+00      1.330582e-02
         241     -3.346166e+00     -3.550830e+00      1.327791e-02
         242     -3.346383e+00     -3.549986e+00      1.324989e-02
         243     -3.346676e+00     -3.549149e+00      1.322176e-02
         244     -3.347150e+00     -3.548321e+00      1.319346e-02
         245     -3.347241e+00     -3.547500e+00      1.316511e-02
         246     -3.347560e+00     -3.546688e+00      1.313666e-02
         247     -3.347656e+00     -3.545882e+00      1.310817e-02
         248     -3.347776e+00     -3.545083e+00      1.307963e-02
         249     -3.347920e+00     -3.544291e+00      1.305105e-02
         250     -3.348289e+00     -3.543507e+00      1.302237e-02
         251     -3.348883e+00     -3.542732e+00      1.299355e-02
         252     -3.348799e+00     -3.541962e+00      1.296476e-02
         253     -3.348792e+00     -3.541199e+00      1.293598e-02
         254     -3.348258e+00     -3.540439e+00      1.290733e-02
         255     -3.348105e+00     -3.539685e+00      1.287873e-02
         256     -3.348032e+00     -3.538936e+00      1.285017e-02
         257     -3.347738e+00     -3.538192e+00      1.282169e-02
         258     -3.347374e+00     -3.537453e+00      1.279330e-02
         259     -3.347246e+00     -3.536718e+00      1.276497e-02
         260     -3.346748e+00     -3.535988e+00      1.273677e-02
         261     -3.345882e+00     -3.535259e+00      1.270878e-02
         262     -3.345253e+00     -3.534534e+00      1.268094e-02
         263     -3.344862e+00     -3.533813e+00      1.265322e-02
         264     -3.343955e+00     -3.533094e+00      1.262571e-02
         265     -3.342985e+00     -3.532376e+00      1.259843e-02
         266     -3.341955e+00     -3.531660e+00      1.257139e-02
         267     -3.341166e+00     -3.530947e+00      1.254454e-02
         268     -3.340017e+00     -3.530234e+00      1.251794e-02
         269     -3.338809e+00     -3.529523e+00      1.249162e-02
         270     -3.337847e+00     -3.528813e+00      1.246551e-02
         271     -3.335922e+00     -3.528101e+00      1.243981e-02
         272     -3.334849e+00     -3.527391e+00      1.241435e-02
         273     -3.333420e+00     -3.526680e+00      1.238919e-02
         274     -3.331938e+00     -3.525969e+00      1.236435e-02
         275     -3.330705e+00     -3.525259e+00      1.233976e-02
         276     -3.329272e+00     -3.524549e+00      1.231546e-02
         277     -3.327788e+00     -3.523839e+00      1.229147e-02
         278     -3.326860e+00     -3.523130e+00      1.226766e-02
         279     -3.325280e+00     -3.522421e+00      1.224417e-02
         280     -3.323653e+00     -3.521711e+00      1.222100e-02
         281     -3.321981e+00     -3.521001e+00      1.219817e-02
         282     -3.320265e+00     -3.520289e+00      1.217566e-02
         283     -3.318203e+00     -3.519575e+00      1.215356e-02
         284     -3.316249e+00     -3.518859e+00      1.213183e-02
         285     -3.314404e+00     -3.518141e+00      1.211046e-02
         286     -3.312218e+00     -3.517421e+00      1.208950e-02
         287     -3.311317e+00     -3.516703e+00      1.206869e-02
         288     -3.310890e+00     -3.515989e+00      1.204792e-02
         289     -3.310434e+00     -3.515277e+00      1.202721e-02
         290     -3.309797e+00     -3.514569e+00      1.200659e-02
         291     -3.309432e+00     -3.513864e+00      1.198600e-02
         292     -3.308736e+00     -3.513161e+00      1.196553e-02
         293     -3.308161e+00     -3.512462e+00      1.194513e-02
